popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World,is_hit
44,244426,0,0.794,0.592,2,-11.053,0,0.0427,0.202,0.00859,0.101,0.913,99.973,4,0,0,0,0,0,0,0,1,0,0,0,0
52,214772,0,0.611,0.744,8,-6.463,1,0.0663,0.171,0.768,0.154,0.0408,110.019,4,0,0,0,0,0,0,0,0,0,0,1,1
24,195413,0,0.449,0.852,0,-4.321,1,0.0445,0.000135,0.0,0.286,0.55,95.971,4,0,0,0,0,1,0,0,0,0,0,0,0
0,305533,0,0.468,0.946,8,-6.635,1,0.0772,1.65e-05,0.0155,0.0987,0.362,81.961,4,0,0,0,0,1,0,0,0,1,0,0,0
27,131026,0,0.557,0.923,10,-7.885,0,0.0443,0.00116,0.00128,0.0817,0.547,95.072,4,0,0,0,1,0,0,0,0,0,0,0,0
47,164727,0,0.892,0.526,9,-11.588,0,0.0648,0.222,0.005,0.0714,0.582,109.988,4,0,1,0,0,0,0,0,0,0,0,0,0
6,94333,0,0.233,0.0283,6,-36.023,1,0.0325,0.989,0.452,0.178,0.195,55.783,4,1,0,0,0,0,0,0,0,0,0,0,0
0,369708,0,0.572,0.695,6,-6.231,0,0.0371,0.515,0.0,0.221,0.807,111.461,1,0,0,1,0,0,0,0,0,0,0,1,0
31,446127,0,0.713,0.964,7,-8.399,1,0.0413,7.1e-05,0.683,0.0946,0.146,132.994,4,0,1,0,0,0,0,0,0,0,0,0,0
0,412614,0,0.0904,0.729,7,-8.234,1,0.0496,0.003,0.757,0.082,0.138,86.601,4,0,0,0,0,0,0,0,0,0,0,1,0
39,124753,0,0.526,0.674,7,-6.896,1,0.21,0.671,0.0,0.285,0.963,94.286,3,0,0,0,0,0,1,0,0,0,0,0,0
34,221986,0,0.627,0.907,0,-3.974,1,0.0412,0.335,0.00101,0.693,0.949,143.998,4,0,0,0,0,0,0,0,0,0,0,1,0
15,243680,0,0.621,0.786,2,-9.086,1,0.0317,0.0646,0.00876,0.133,0.637,143.965,4,0,0,0,0,0,1,0,0,0,0,0,0
21,176826,0,0.675,0.36,9,-11.372,1,0.0403,0.909,0.0,0.379,0.624,100.71,4,0,0,1,0,0,0,0,0,0,0,0,0
27,240374,0,0.664,0.323,7,-14.149,1,0.0533,0.0558,0.0,0.132,0.282,86.005,4,0,0,0,0,0,1,0,0,0,0,0,0
17,101066,0,0.799,0.602,7,-5.278,1,0.0438,0.327,0.00945,0.291,0.698,110.936,4,0,0,0,0,0,1,0,0,0,0,0,0
56,164520,1,0.862,0.6,7,-5.522,1,0.151,0.16,0.0,0.102,0.433,119.072,4,0,0,0,0,0,0,0,0,0,1,0,1
42,228916,0,0.606,0.31,3,-11.111,1,0.0289,0.936,0.000213,0.281,0.22,140.293,4,0,0,0,0,0,0,0,1,0,0,0,0
53,162442,0,0.548,0.835,1,-5.094,1,0.0394,0.00874,0.000653,0.238,0.385,160.022,4,0,1,0,0,0,0,0,0,0,0,1,1
58,148500,1,0.731,0.939,2,-3.581,1,0.0623,0.249,0.0,0.231,0.749,149.961,4,0,0,0,0,0,1,0,0,0,1,0,1
38,133734,0,0.778,0.736,0,-2.988,0,0.0643,0.00264,0.0,0.276,0.867,132.982,4,0,1,0,0,0,0,0,0,0,0,0,0
47,244555,0,0.547,0.925,10,-6.688,0,0.101,0.00535,2.93e-06,0.192,0.528,102.518,4,0,0,0,0,1,0,0,0,0,0,0,0
43,165952,0,0.84,0.849,10,-6.626,1,0.0972,0.0246,0.0,0.104,0.704,126.002,4,0,0,0,0,0,0,0,0,0,0,1,0
66,140250,0,0.334,0.0203,7,-32.364,0,0.0325,0.993,0.919,0.0917,0.351,88.396,4,1,0,0,0,0,0,0,0,0,0,0,1
46,139595,0,0.714,0.368,1,-8.293,0,0.0464,0.211,0.861,0.105,0.0625,83.03,4,0,0,0,0,0,1,0,0,0,0,0,0
0,171266,0,0.166,0.0577,8,-27.78,1,0.049,0.901,0.449,0.391,0.0764,140.099,5,0,0,0,0,0,1,0,0,0,0,0,0
40,199400,0,0.622,0.905,4,-7.535,1,0.0486,0.111,1.75e-05,0.966,0.75,100.031,4,0,0,0,0,0,0,0,0,1,0,0,0
20,185293,0,0.605,0.259,0,-10.788,1,0.0297,0.74,0.000136,0.0734,0.562,95.637,3,0,0,1,0,0,0,0,0,0,0,0,0
0,288440,0,0.649,0.517,9,-5.227,0,0.0273,0.54,0.0,0.0601,0.185,119.968,4,0,0,0,0,0,0,0,0,0,0,1,0
44,127026,0,0.516,0.351,0,-11.012,1,0.044,0.709,8.61e-05,0.116,0.796,159.757,4,0,0,0,0,0,1,0,0,0,0,0,0
18,228093,0,0.624,0.879,11,-4.173,0,0.0613,0.022,2.92e-06,0.433,0.76,128.991,4,0,0,0,0,0,0,0,1,0,0,0,0
59,189727,0,0.715,0.945,4,-3.964,1,0.0842,0.0196,1.08e-06,0.027,0.924,102.006,4,0,0,0,1,0,0,0,0,0,0,0,1
49,193205,0,0.478,0.81,9,-4.67,1,0.0792,0.295,0.0,0.097,0.703,132.846,4,0,0,0,1,0,0,0,0,0,0,0,0
17,209333,0,0.444,0.834,5,-11.44,1,0.035,0.0245,0.0113,0.375,0.0403,180.757,4,0,0,0,0,0,1,0,0,0,0,0,0
2,182186,1,0.709,0.726,7,-7.129,1,0.0411,0.0977,0.0,0.301,0.405,92.014,4,0,0,0,1,0,0,0,0,1,0,1,0
21,117400,0,0.395,0.433,0,-13.474,0,0.0316,0.00108,0.941,0.0739,0.117,105.878,4,0,0,0,0,1,0,0,0,0,1,0,0
34,248181,0,0.461,0.429,10,-10.742,1,0.0322,0.835,0.433,0.403,0.316,87.97,4,0,0,1,0,0,0,0,0,0,0,0,0
49,118607,0,0.895,0.0265,2,-19.707,0,0.0904,0.976,0.416,0.107,0.221,117.886,4,0,0,1,0,0,0,0,0,0,0,0,0
22,143730,0,0.374,0.439,9,-10.924,1,0.0309,0.679,0.000209,0.132,0.83,144.654,4,0,0,1,0,0,0,0,0,0,1,0,0
29,402679,0,0.406,0.225,8,-19.73,1,0.0421,0.967,9.45e-05,0.248,0.143,107.191,3,0,0,0,0,0,1,0,0,0,0,0,0
59,242019,0,0.595,0.895,1,-5.218,1,0.422,0.499,4.7e-05,0.0959,0.874,97.43,4,0,0,0,0,0,0,0,1,0,0,0,1
55,72640,0,0.474,0.939,11,-8.884,0,0.199,0.00472,0.674,0.19,0.499,166.829,4,0,0,0,0,0,0,0,0,0,1,1,1
0,162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,0,0,1,0,0,0,0,0,1,1,0,0
39,220800,0,0.667,0.862,7,-7.545,1,0.0934,0.245,0.0,0.339,0.588,100.048,4,0,0,0,0,0,0,0,0,0,0,1,0
0,179199,0,0.709,0.871,5,-4.126,0,0.175,0.134,0.0,0.316,0.667,125.94,4,0,1,0,0,0,0,0,0,0,0,0,0
19,333240,0,0.854,0.347,9,-7.178,0,0.0514,0.036,0.888,0.106,0.528,119.989,4,0,1,0,0,0,0,0,0,0,0,0,0
23,321946,0,0.316,0.79,7,-10.978,1,0.0774,0.0968,0.000421,0.599,0.349,98.683,4,0,0,0,0,1,0,0,0,0,0,0,0
47,197288,0,0.744,0.699,0,-6.63,1,0.0517,0.00369,0.000234,0.402,0.508,117.99,4,0,1,0,0,0,0,0,0,0,0,0,0
30,211480,0,0.696,0.848,11,-4.359,1,0.0504,0.184,0.0,0.248,0.429,122.988,4,0,0,0,0,0,1,0,0,0,0,0,0
71,226216,0,0.479,0.781,9,-6.344,0,0.124,0.221,0.55,0.0964,0.258,147.961,3,0,1,0,0,0,0,0,0,0,1,0,1
57,217560,0,0.44,0.609,2,-8.824,1,0.0358,0.0715,0.0,0.582,0.364,165.156,4,0,0,0,0,0,0,0,0,0,1,1,1
21,172695,0,0.655,0.62,10,-7.736,1,0.0394,0.75,0.615,0.191,0.763,97.513,4,0,0,0,0,0,0,0,0,0,0,1,0
41,350892,0,0.531,0.825,9,-4.804,0,0.112,0.52,0.0,0.71,0.734,87.566,4,0,0,0,1,0,0,0,0,0,0,0,0
41,66913,0,0.711,0.728,1,-3.977,0,0.335,0.00631,0.00109,0.0887,0.461,164.871,4,0,1,0,0,0,0,0,0,0,0,0,0
20,187547,0,0.709,0.594,8,-5.642,0,0.271,0.367,0.0227,0.0796,0.879,189.916,4,0,0,0,0,0,0,0,0,0,0,1,0
53,255573,0,0.284,0.973,11,-2.558,0,0.111,1.07e-05,0.0,0.51,0.0821,149.065,4,0,0,0,0,1,0,0,0,0,0,0,1
