acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
0.222,0.005,164727,0.526,-11.588,0.582,0.0648,0.0714,0.892,109.988,0,47,0,1,0,0,0,0,0,0,0,0,0
0.989,0.452,94333,0.0283,-36.023,0.195,0.0325,0.178,0.233,55.783,0,6,1,0,0,0,0,0,0,0,0,0,0
0.515,0.0,369708,0.695,-6.231,0.807,0.0371,0.221,0.572,111.461,0,0,0,0,1,0,0,0,0,0,0,0,1
7.1e-05,0.683,446127,0.964,-8.399,0.146,0.0413,0.0946,0.713,132.994,0,31,0,1,0,0,0,0,0,0,0,0,0
0.003,0.757,412614,0.729,-8.234,0.138,0.0496,0.082,0.0904,86.601,0,0,0,0,0,0,0,0,0,0,0,0,1
0.671,0.0,124753,0.674,-6.896,0.963,0.21,0.285,0.526,94.286,0,39,0,0,0,0,0,1,0,0,0,0,0
0.335,0.00101,221986,0.907,-3.974,0.949,0.0412,0.693,0.627,143.998,0,34,0,0,0,0,0,0,0,0,0,0,1
0.0646,0.00876,243680,0.786,-9.086,0.637,0.0317,0.133,0.621,143.965,0,15,0,0,0,0,0,1,0,0,0,0,0
0.909,0.0,176826,0.36,-11.372,0.624,0.0403,0.379,0.675,100.71,0,21,0,0,1,0,0,0,0,0,0,0,0
0.0558,0.0,240374,0.323,-14.149,0.282,0.0533,0.132,0.664,86.005,0,27,0,0,0,0,0,1,0,0,0,0,0
0.327,0.00945,101066,0.602,-5.278,0.698,0.0438,0.291,0.799,110.936,0,17,0,0,0,0,0,1,0,0,0,0,0
0.16,0.0,164520,0.6,-5.522,0.433,0.151,0.102,0.862,119.072,1,56,0,0,0,0,0,0,0,0,0,1,0
0.936,0.000213,228916,0.31,-11.111,0.22,0.0289,0.281,0.606,140.293,0,42,0,0,0,0,0,0,0,1,0,0,0
0.00874,0.000653,162442,0.835,-5.094,0.385,0.0394,0.238,0.548,160.022,1,53,0,1,0,0,0,0,0,0,0,0,1
0.249,0.0,148500,0.939,-3.581,0.749,0.0623,0.231,0.731,149.961,1,58,0,0,0,0,0,1,0,0,0,1,0
0.00264,0.0,133734,0.736,-2.988,0.867,0.0643,0.276,0.778,132.982,0,38,0,1,0,0,0,0,0,0,0,0,0
0.00535,2.93e-06,244555,0.925,-6.688,0.528,0.101,0.192,0.547,102.518,0,47,0,0,0,0,1,0,0,0,0,0,0
0.0246,0.0,165952,0.849,-6.626,0.704,0.0972,0.104,0.84,126.002,0,43,0,0,0,0,0,0,0,0,0,0,1
0.993,0.919,140250,0.0203,-32.364,0.351,0.0325,0.0917,0.334,88.396,1,66,1,0,0,0,0,0,0,0,0,0,0
0.211,0.861,139595,0.368,-8.293,0.0625,0.0464,0.105,0.714,83.03,0,46,0,0,0,0,0,1,0,0,0,0,0
0.901,0.449,171266,0.0577,-27.78,0.0764,0.049,0.391,0.166,140.099,0,0,0,0,0,0,0,1,0,0,0,0,0
0.111,1.75e-05,199400,0.905,-7.535,0.75,0.0486,0.966,0.622,100.031,0,40,0,0,0,0,0,0,0,0,1,0,0
0.74,0.000136,185293,0.259,-10.788,0.562,0.0297,0.0734,0.605,95.637,0,20,0,0,1,0,0,0,0,0,0,0,0
0.54,0.0,288440,0.517,-5.227,0.185,0.0273,0.0601,0.649,119.968,0,0,0,0,0,0,0,0,0,0,0,0,1
0.709,8.61e-05,127026,0.351,-11.012,0.796,0.044,0.116,0.516,159.757,0,44,0,0,0,0,0,1,0,0,0,0,0
0.022,2.92e-06,228093,0.879,-4.173,0.76,0.0613,0.433,0.624,128.991,0,18,0,0,0,0,0,0,0,1,0,0,0
0.0196,1.08e-06,189727,0.945,-3.964,0.924,0.0842,0.027,0.715,102.006,1,59,0,0,0,1,0,0,0,0,0,0,0
