popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit
56,248226,0,0.393,0.78,7,-4.771,1,0.0317,0.00966,1.37e-05,0.105,0.204,141.772,4,grunge,1
47,225584,0,0.588,0.108,2,-17.225,1,0.0817,0.874,4.98e-06,0.12,0.198,77.519,4,sad,0
68,223257,0,0.866,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.039,4,chill,1
65,251000,0,0.55,0.246,0,-12.503,0,0.03,0.834,0.00279,0.0977,0.218,119.836,3,pop-film,1
53,267213,0,0.456,0.893,5,-2.825,0,0.0813,0.00321,0.0,0.121,0.478,127.884,4,anime,1
50,269813,0,0.264,0.889,8,-3.494,1,0.0589,9.8e-06,0.0396,0.0857,0.492,118.977,4,anime,1
66,326983,0,0.402,0.723,6,-5.26,1,0.0579,0.0663,2e-06,0.233,0.224,160.047,4,grunge,1
45,179267,0,0.507,0.828,7,-5.604,1,0.0932,0.288,0.0,0.937,0.777,167.924,4,sertanejo,0
41,121867,0,0.644,0.637,7,-7.922,1,0.0898,0.382,0.0,0.141,0.216,81.479,4,sad,0
62,288360,0,0.47,0.521,6,-11.142,0,0.0391,0.579,3.39e-06,0.112,0.329,142.268,3,pop-film,1
49,183737,0,0.698,0.666,10,-4.511,1,0.033,0.575,0.0,0.0902,0.714,114.872,4,sertanejo,0
44,176128,0,0.608,0.428,4,-11.056,1,0.0325,0.82,0.00448,0.102,0.333,94.038,4,indian,0
56,144000,0,0.703,0.284,8,-12.47,1,0.0787,0.885,0.000997,0.111,0.0979,91.824,4,chill,1
56,331572,0,0.739,0.664,2,-10.582,1,0.0338,0.539,1.14e-06,0.0856,0.878,106.021,4,indian,1
73,189286,0,0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,4,k-pop,1
83,171743,0,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,4,chill,1
57,178866,0,0.502,0.831,2,-3.723,1,0.295,0.105,1.3e-06,0.174,0.451,199.972,3,grunge,1
86,168601,1,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,pop,1
63,121920,1,0.659,0.423,2,-8.433,1,0.0379,0.0144,0.0,0.135,0.0364,112.223,4,emo,1
56,340662,0,0.605,0.586,4,-6.662,0,0.0292,0.905,2.3e-05,0.0911,0.294,99.968,4,pop-film,1
62,308000,0,0.544,0.678,4,-5.195,1,0.0357,0.429,0.0,0.193,0.249,143.956,4,pop-film,1
13,228119,0,0.469,0.911,5,-3.136,1,0.0643,0.000606,2.2e-05,0.138,0.424,132.066,4,grunge,0
57,173508,0,0.149,0.938,9,-4.245,1,0.154,1.24e-05,0.824,0.0584,0.601,170.056,4,grunge,1
1,232128,0,0.595,0.459,11,-9.413,1,0.0461,0.571,0.000165,0.101,0.272,129.661,4,pop,0
58,131000,0,0.798,0.0841,11,-12.673,1,0.209,0.487,0.8,0.239,0.506,160.038,4,chill,1
